Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
regress,Chrome 66.0.3359.181,,2018-05-21 14:59:22,2018-05-21 14:59:31,"8,879s",PASSED
,,,,,,
Test Cases/Login with invalid data,Chrome 66.0.3359.181,,2018-05-21 14:59:23,2018-05-21 14:59:31,"8,332s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-21 14:59:23,2018-05-21 14:59:28,"5,003s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 14:59:28,2018-05-21 14:59:30,"1,399s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 14:59:30,2018-05-21 14:59:30,"0,079s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 14:59:30,2018-05-21 14:59:30,"0,090s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 14:59:30,2018-05-21 14:59:30,"0,068s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 14:59:30,2018-05-21 14:59:30,"0,099s",PASSED
check,Chrome 66.0.3359.181,,2018-05-21 14:59:30,2018-05-21 14:59:31,"0,678s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-21 14:59:31,2018-05-21 14:59:31,"0,575s",PASSED
