Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
regress,Chrome 66.0.3359.181,,2018-05-21 17:03:26,2018-05-21 17:03:36,"10,288s",PASSED
,,,,,,
Test Cases/Login with invalid data,Chrome 66.0.3359.181,,2018-05-21 17:03:27,2018-05-21 17:03:36,"9,379s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-21 17:03:27,2018-05-21 17:03:33,"5,862s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 17:03:33,2018-05-21 17:03:35,"1,442s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 17:03:35,2018-05-21 17:03:35,"0,080s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 17:03:35,2018-05-21 17:03:35,"0,095s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 17:03:35,2018-05-21 17:03:35,"0,082s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 17:03:35,2018-05-21 17:03:35,"0,092s",PASSED
check,Chrome 66.0.3359.181,,2018-05-21 17:03:35,2018-05-21 17:03:36,"0,651s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-21 17:03:36,2018-05-21 17:03:36,"0,576s",PASSED
