Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
regress,Chrome 66.0.3359.181,,2018-05-21 15:57:33,2018-05-21 15:57:43,"9,704s",PASSED
,,,,,,
Test Cases/Login with invalid data,Chrome 66.0.3359.181,,2018-05-21 15:57:34,2018-05-21 15:57:43,"8,900s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-21 15:57:35,2018-05-21 15:57:40,"5,378s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 15:57:40,2018-05-21 15:57:41,"1,354s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 15:57:41,2018-05-21 15:57:41,"0,088s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 15:57:41,2018-05-21 15:57:42,"0,106s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 15:57:42,2018-05-21 15:57:42,"0,085s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 15:57:42,2018-05-21 15:57:42,"0,097s",PASSED
check,Chrome 66.0.3359.181,,2018-05-21 15:57:42,2018-05-21 15:57:42,"0,647s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-21 15:57:42,2018-05-21 15:57:43,"0,579s",PASSED
