Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
regress,Chrome 66.0.3359.181,,2018-05-21 16:09:32,2018-05-21 16:09:43,"10,353s",PASSED
,,,,,,
Test Cases/Login with invalid data,Chrome 66.0.3359.181,,2018-05-21 16:09:33,2018-05-21 16:09:43,"9,309s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-21 16:09:34,2018-05-21 16:09:40,"5,501s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 16:09:40,2018-05-21 16:09:41,"1,479s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 16:09:41,2018-05-21 16:09:41,"0,071s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 16:09:41,2018-05-21 16:09:41,"0,092s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 16:09:41,2018-05-21 16:09:41,"0,065s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 16:09:41,2018-05-21 16:09:42,"0,081s",PASSED
check,Chrome 66.0.3359.181,,2018-05-21 16:09:42,2018-05-21 16:09:42,"0,678s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-21 16:09:42,2018-05-21 16:09:43,"0,577s",PASSED
