Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
regress,Chrome 66.0.3359.181,,2018-05-21 16:04:28,2018-05-21 16:04:37,"9,303s",PASSED
,,,,,,
Test Cases/Login with invalid data,Chrome 66.0.3359.181,,2018-05-21 16:04:28,2018-05-21 16:04:37,"8,754s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-21 16:04:29,2018-05-21 16:04:34,"5,490s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 16:04:34,2018-05-21 16:04:35,"1,380s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 16:04:35,2018-05-21 16:04:36,"0,084s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 16:04:36,2018-05-21 16:04:36,"0,088s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 16:04:36,2018-05-21 16:04:36,"0,071s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 16:04:36,2018-05-21 16:04:36,"0,079s",PASSED
check,Chrome 66.0.3359.181,,2018-05-21 16:04:36,2018-05-21 16:04:36,"0,627s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-21 16:04:36,2018-05-21 16:04:37,"0,570s",PASSED
