Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
regress,Chrome 66.0.3359.181,,2018-05-21 15:45:16,2018-05-21 15:45:25,"9,332s",PASSED
,,,,,,
Test Cases/Login with invalid data,Chrome 66.0.3359.181,,2018-05-21 15:45:16,2018-05-21 15:45:25,"8,721s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-21 15:45:17,2018-05-21 15:45:22,"5,305s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 15:45:22,2018-05-21 15:45:24,"1,375s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 15:45:24,2018-05-21 15:45:24,"0,077s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 15:45:24,2018-05-21 15:45:24,"0,084s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 15:45:24,2018-05-21 15:45:24,"0,066s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 15:45:24,2018-05-21 15:45:24,"0,087s",PASSED
check,Chrome 66.0.3359.181,,2018-05-21 15:45:24,2018-05-21 15:45:25,"0,677s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-21 15:45:25,2018-05-21 15:45:25,"0,570s",PASSED
