Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
regress,Chrome 66.0.3359.181,,2018-05-21 14:57:48,2018-05-21 14:57:58,"10,434s",PASSED
,,,,,,
Test Cases/Login with invalid data,Chrome 66.0.3359.181,,2018-05-21 14:57:49,2018-05-21 14:57:58,"9,780s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-21 14:57:49,2018-05-21 14:57:55,"6,076s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 14:57:55,2018-05-21 14:57:57,"1,563s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 14:57:57,2018-05-21 14:57:57,"0,100s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 14:57:57,2018-05-21 14:57:57,"0,091s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 14:57:57,2018-05-21 14:57:57,"0,067s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 14:57:57,2018-05-21 14:57:57,"0,090s",PASSED
check,Chrome 66.0.3359.181,,2018-05-21 14:57:57,2018-05-21 14:57:58,"0,662s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-21 14:57:58,2018-05-21 14:57:58,"0,577s",PASSED
