Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
regress,Chrome 66.0.3359.181,,2018-05-21 16:02:54,2018-05-21 16:03:04,"9,886s",PASSED
,,,,,,
Test Cases/Login with invalid data,Chrome 66.0.3359.181,,2018-05-21 16:02:55,2018-05-21 16:03:04,"9,190s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-21 16:02:55,2018-05-21 16:03:01,"5,521s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 16:03:01,2018-05-21 16:03:03,"1,594s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 16:03:03,2018-05-21 16:03:03,"0,085s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 16:03:03,2018-05-21 16:03:03,"0,087s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 16:03:03,2018-05-21 16:03:03,"0,071s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 16:03:03,2018-05-21 16:03:03,"0,079s",PASSED
check,Chrome 66.0.3359.181,,2018-05-21 16:03:03,2018-05-21 16:03:04,"0,678s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-21 16:03:04,2018-05-21 16:03:04,"0,568s",PASSED
