Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
regress,Chrome 66.0.3359.181,,2018-05-21 15:49:46,2018-05-21 15:49:56,"10,207s",PASSED
,,,,,,
Test Cases/Login with invalid data,Chrome 66.0.3359.181,,2018-05-21 15:49:47,2018-05-21 15:49:56,"9,466s",PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-21 15:49:48,2018-05-21 15:49:53,"5,439s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 15:49:53,2018-05-21 15:49:55,"1,657s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 15:49:55,2018-05-21 15:49:55,"0,088s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 15:49:55,2018-05-21 15:49:55,"0,099s",PASSED
sendKeys,Chrome 66.0.3359.181,,2018-05-21 15:49:55,2018-05-21 15:49:55,"0,087s",PASSED
click,Chrome 66.0.3359.181,,2018-05-21 15:49:55,2018-05-21 15:49:55,"0,087s",PASSED
check,Chrome 66.0.3359.181,,2018-05-21 15:49:55,2018-05-21 15:49:56,"0,697s",PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-21 15:49:56,2018-05-21 15:49:56,"0,628s",PASSED
